epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,49.6504,0.95801,4.38006,1.31663,0.02941,0.5,0.24875,0.22387,0.93281,3.88784,1.09653,0.000442931,0.000147644,0.000442931,0.000147644,0.000442931,0.000147644,0.000442931,0.000147644
74,50.0942,1.06195,4.40878,1.30478,0.02941,0.5,0.24875,0.22387,0.93281,3.88784,1.09653,0.000433603,0.000144534,0.000433603,0.000144534,0.000433603,0.000144534,0.000433603,0.000144534
75,50.7943,1.13141,4.21595,1.35258,0.03125,0.5,0.24875,0.22387,0.76572,3.8751,1.05165,0.00042385,0.000141283,0.00042385,0.000141283,0.00042385,0.000141283,0.00042385,0.000141283
76,51.1914,1.1645,4.4141,1.36773,0.03125,0.5,0.24875,0.22387,0.76572,3.8751,1.05165,0.000413674,0.000137891,0.000413674,0.000137891,0.000413674,0.000137891,0.000413674,0.000137891
77,51.6019,1.19261,4.37701,1.32993,0.03125,0.5,0.24875,0.22387,0.76572,3.8751,1.05165,0.000403073,0.000134358,0.000403073,0.000134358,0.000403073,0.000134358,0.000403073,0.000134358
78,52.3166,1.09351,4.46853,1.33659,0.02778,0.5,0.24875,0.199,0.77585,3.86911,0.99495,0.000392048,0.000130683,0.000392048,0.000130683,0.000392048,0.000130683,0.000392048,0.000130683
79,52.7226,0.99556,4.39124,1.33837,0.02778,0.5,0.24875,0.199,0.77585,3.86911,0.99495,0.000380599,0.000126866,0.000380599,0.000126866,0.000380599,0.000126866,0.000380599,0.000126866
80,53.1235,1.03301,4.33591,1.33853,0.02778,0.5,0.24875,0.199,0.77585,3.86911,0.99495,0.000368726,0.000122909,0.000368726,0.000122909,0.000368726,0.000122909,0.000368726,0.000122909
81,53.8125,1.07041,4.44687,1.30151,0.03333,0.5,0.24875,0.199,0.75262,3.8782,1.03664,0.000356429,0.00011881,0.000356429,0.00011881,0.000356429,0.00011881,0.000356429,0.00011881
82,54.2201,1.10635,4.41673,1.32308,0.03333,0.5,0.24875,0.199,0.75262,3.8782,1.03664,0.000343707,0.000114569,0.000343707,0.000114569,0.000343707,0.000114569,0.000343707,0.000114569
